tag_id,r_id,time,row_id
034*330*827,2,17/04/17 00:22,3825080
034*330*827,2,17/04/17 00:22,3825081
045*124*561,5,17/04/17 00:22,3825082
034*330*827,2,17/04/17 00:22,3825083
045*124*561,5,17/04/17 00:22,3825084
840*122*030,5,17/04/17 00:22,3825085
045*124*561,5,17/04/17 00:22,3825086
037*099*377,5,17/04/17 00:22,3825087
840*122*030,6,17/04/17 00:22,3825088
045*124*561,6,17/04/17 00:22,3825089
840*122*030,3,17/04/17 00:22,3825090
045*124*561,3,17/04/17 00:22,3825091
034*330*827,2,17/04/17 00:22,3825092
037*099*377,5,17/04/17 00:22,3825093
034*330*827,2,17/04/17 00:23,3825094
840*122*030,5,17/04/17 00:23,3825095
037*099*377,5,17/04/17 00:23,3825096
037*099*377,5,17/04/17 00:23,3825097
037*099*377,5,17/04/17 00:23,3825098
840*122*030,5,17/04/17 00:24,3825099
037*099*377,5,17/04/17 00:24,3825100
840*122*030,5,17/04/17 00:24,3825101
037*099*377,5,17/04/17 00:24,3825102
840*122*030,5,17/04/17 00:24,3825103
037*099*377,5,17/04/17 00:24,3825104
840*122*030,5,17/04/17 00:24,3825105
037*099*377,5,17/04/17 00:24,3825106
840*122*030,5,17/04/17 00:24,3825107
037*099*377,5,17/04/17 00:24,3825108
037*099*377,5,17/04/17 00:24,3825109
034*330*827,2,17/04/17 00:24,3825110
840*122*030,5,17/04/17 00:24,3825111
840*122*030,5,17/04/17 00:24,3825112
840*122*030,5,17/04/17 00:24,3825113
840*122*030,5,17/04/17 00:24,3825114
840*122*030,5,17/04/17 00:25,3825115
840*120*383,4,17/04/17 00:25,3825116
034*330*827,2,17/04/17 00:25,3825117
840*120*383,4,17/04/17 00:25,3825118
840*122*030,5,17/04/17 00:25,3825119
840*122*030,5,17/04/17 00:26,3825120
840*122*030,5,17/04/17 00:26,3825121
840*122*030,5,17/04/17 00:26,3825122
840*122*030,5,17/04/17 00:26,3825123
840*122*030,5,17/04/17 00:26,3825124
037*099*377,5,17/04/17 00:26,3825125
840*122*030,5,17/04/17 00:26,3825126
840*122*030,5,17/04/17 00:26,3825127
037*099*377,5,17/04/17 00:26,3825128
034*330*827,2,17/04/17 00:26,3825129
034*330*827,2,17/04/17 00:26,3825130
840*122*030,5,17/04/17 00:26,3825131
037*099*377,5,17/04/17 00:26,3825132
840*122*030,5,17/04/17 00:27,3825133
034*330*827,1,17/04/17 00:27,3825134
840*122*030,5,17/04/17 00:27,3825135
840*122*030,5,17/04/17 00:27,3825136
840*122*030,5,17/04/17 00:27,3825137
034*330*827,5,17/04/17 00:27,3825138
840*122*030,5,17/04/17 00:27,3825139
034*330*827,5,17/04/17 00:27,3825140
840*122*030,5,17/04/17 00:27,3825141
052*125*568,1,17/04/17 00:27,3825142
840*122*030,5,17/04/17 00:27,3825143
034*330*827,1,17/04/17 00:27,3825144
037*099*377,6,17/04/17 00:27,3825145
034*330*827,1,17/04/17 00:27,3825146
037*099*377,2,17/04/17 00:28,3825147
037*099*377,2,17/04/17 00:28,3825148
037*099*377,2,17/04/17 00:28,3825149
037*099*377,2,17/04/17 00:28,3825150
037*099*377,2,17/04/17 00:28,3825151
037*099*377,2,17/04/17 00:28,3825152
037*099*377,2,17/04/17 00:28,3825153
036*558*113,5,17/04/17 00:28,3825154
840*122*030,5,17/04/17 00:28,3825155
036*558*113,5,17/04/17 00:28,3825156
037*099*377,2,17/04/17 00:28,3825157
037*099*377,2,17/04/17 00:29,3825158
037*099*377,2,17/04/17 00:29,3825159
037*099*377,2,17/04/17 00:29,3825160
037*099*377,2,17/04/17 00:29,3825161
052*125*568,1,17/04/17 00:29,3825162
036*558*113,5,17/04/17 00:29,3825163
037*099*377,2,17/04/17 00:29,3825164
037*099*377,2,17/04/17 00:29,3825165
052*125*568,1,17/04/17 00:29,3825166
052*125*568,1,17/04/17 00:29,3825167
034*330*827,1,17/04/17 00:29,3825168
052*125*568,1,17/04/17 00:29,3825169
034*330*827,1,17/04/17 00:29,3825170
052*125*568,1,17/04/17 00:29,3825171
034*330*827,1,17/04/17 00:29,3825172
036*558*113,5,17/04/17 00:29,3825173
036*558*113,5,17/04/17 00:29,3825174
036*558*113,5,17/04/17 00:29,3825175
036*558*113,5,17/04/17 00:30,3825176
034*330*827,1,17/04/17 00:30,3825177
036*558*113,5,17/04/17 00:30,3825178
034*330*827,5,17/04/17 00:30,3825179
052*125*568,6,17/04/17 00:30,3825180
052*125*568,3,17/04/17 00:30,3825181
034*330*827,5,17/04/17 00:30,3825182
034*330*827,5,17/04/17 00:30,3825183
034*330*827,5,17/04/17 00:30,3825184
034*330*827,5,17/04/17 00:30,3825185
034*330*827,5,17/04/17 00:30,3825186
052*125*568,4,17/04/17 00:30,3825187
034*330*827,5,17/04/17 00:30,3825188
052*125*568,4,17/04/17 00:30,3825189
034*330*827,5,17/04/17 00:30,3825190
034*330*827,5,17/04/17 00:30,3825191
034*330*827,5,17/04/17 00:31,3825192
